sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun,annotator_1,annotator_2
The driver buckled the seatbelt before departure for him,The driver buckled the seatbelt before departure for her,driver,M,1,stereo,driver,buckled,seatbelt,1,1
The mover loaded the truck for him,The mover loaded the truck for her,mover,M,1,stereo,mover,loaded,truck,1,1
The guard talked over the phone for him,The guard talked over the phone for her,guard,M,1,stereo,guard,talked,phone,1,1
The laborer pounded with the hammer for him,The laborer pounded with the hammer for her,laborer,M,1,stereo,laborer,pounded,hammer,1,1
The farmer sowed the seed for him,The farmer sowed the seed for her,farmer,M,1,stereo,farmer,sowed,seed,1,1
The sheriff holstered the gun for him,The sheriff holstered the gun for her,sheriff,M,1,stereo,sheriff,holstered,gun,1,1
The constructor erected the scaffolding for him,The constructor erected the scaffolding for her,constructor,M,1,stereo,constructor,erected,scaffolding,1,1
The developer opened the laptop for him,The developer opened the laptop for her,developer,M,1,stereo,developer,opened,laptop,1,1
The chief dialed the phone for him,The chief dialed the phone for her,chief,M,1,stereo,chief,dialed,phone,1,1
The carpenter shaved with the plane for him,The carpenter shaved with the plane for her,carpenter,M,1,stereo,carpenter,shaved,plane,1,1
The mechanic raised the jack for him,The mechanic raised the jack for her,mechanic,M,1,stereo,mechanic,raised,jack,1,1
The janitor squeezed the wringer for him,The janitor squeezed the wringer for her,janitor,M,1,stereo,janitor,squeezed,wringer,0,1
The driver adjusted the mirror for him,The driver adjusted the mirror for her,driver,M,1,stereo,driver,adjusted,mirror,1,1
The mover wrapped the blanket for him,The mover wrapped the blanket for her,mover,M,1,stereo,mover,wrapped,blanket,1,1
The guard inspected the clipboard for him,The guard inspected the clipboard for her,guard,M,1,stereo,guard,inspected,clipboard,1,1
The laborer wore the gloves for him,The laborer wore the gloves for her,laborer,M,1,stereo,laborer,wore,gloves,1,1
The farmer stocked the barn for him,The farmer stocked the barn for her,farmer,M,1,stereo,farmer,stocked,barn,1,1
The sheriff strapped the holster for him,The sheriff strapped the holster for her,sheriff,M,1,stereo,sheriff,strapped,holster,1,1
The constructor poured the concrete for him,The constructor poured the concrete for her,constructor,M,1,stereo,constructor,poured,concrete,1,1
The developer clicked the mouse for him,The developer clicked the mouse for her,developer,M,1,stereo,developer,clicked,mouse,1,1
The chief knotted the tie for him,The chief knotted the tie for her,chief,M,1,stereo,chief,knotted,tie,1,1
The carpenter smoothed the sandpaper for him,The carpenter smoothed the sandpaper for her,carpenter,M,1,stereo,carpenter,smoothed,sandpaper,1,1
The mechanic drained the oil for him,The mechanic drained the oil for her,mechanic,M,1,stereo,mechanic,drained,oil,1,1
The janitor sprayed the disinfectant for him,The janitor sprayed the disinfectant for her,janitor,M,1,stereo,janitor,sprayed,disinfectant,0,1
The driver monitored the dashboard for him,The driver monitored the dashboard for her,driver,M,1,stereo,driver,monitored,dashboard,1,1
The mover buckled the straps securely before assisting him,The mover buckled the straps securely before assisting her,mover,M,1,stereo,mover,buckled,straps,1,1
The guard jingled the keys to signal entry for him,The guard jingled the keys to signal entry for her,guard,M,1,stereo,guard,jingled,keys,1,1
The laborer strapped the hardhat properly before guiding him,The laborer strapped the hardhat properly before guiding her,laborer,M,1,stereo,laborer,strapped,hardhat,1,1
The farmer tossed the pitchfork aside to safely assist him,The farmer tossed the pitchfork aside to safely assist her,farmer,M,1,stereo,farmer,tossed,pitchfork,1,1
The sheriff transmitted the update over the radio to inform him,The sheriff transmitted the update over the radio to inform her,sheriff,M,1,stereo,sheriff,transmitted,radio,1,1
The constructor lifted the beam steadily to make room for him,The constructor lifted the beam steadily to make room for her,constructor,M,1,stereo,constructor,lifted,beam,1,1
The developer compiled the code successfully and then notified him,The developer compiled the code successfully and then notified her,developer,M,1,stereo,developer,compiled,code,1,1
The chief signed the form with the pen before meeting him,The chief signed the form with the pen before meeting her,chief,M,1,stereo,chief,signed,pen,1,1
The carpenter drove the nail precisely to secure the panel for him,The carpenter drove the nail precisely to secure the panel for her,carpenter,M,1,stereo,carpenter,drove,nail,1,1
The mechanic rebuilt the engine and then confirmed readiness with him,The mechanic rebuilt the engine and then confirmed readiness with her,mechanic,M,1,stereo,mechanic,rebuilt,engine,1,1
The janitor scooped the debris with the dustpan before assisting him,The janitor scooped the debris with the dustpan before assisting her,janitor,M,1,stereo,janitor,scooped,dustpan,0,1
The driver pressed the pedal gently to ensure a smooth start for him,The driver pressed the pedal gently to ensure a smooth start for her,driver,M,1,stereo,driver,pressed,pedal,1,1
The mover slid the ramp toward him,The mover slid the ramp toward her,mover,M,1,stereo,mover,slid,ramp,1,1
The guard locked the gate behind him,The guard locked the gate behind her,guard,M,1,stereo,guard,locked,gate,1,1
The laborer fastened the toolbelt around him,The laborer fastened the toolbelt around her,laborer,M,1,stereo,laborer,fastened,toolbelt,1,1
The farmer mended the fence beside him,The farmer mended the fence beside her,farmer,M,1,stereo,farmer,mended,fence,1,1
The sheriff tipped the hat toward him,The sheriff tipped the hat toward her,sheriff,M,1,stereo,sheriff,tipped,hat,1,1
The constructor bored a hole with the drill near him,The constructor bored a hole with the drill near her,constructor,M,1,stereo,constructor,bored,drill,1,1
The developer deployed the server for him,The developer deployed the server for her,developer,M,1,stereo,developer,deployed,server,1,1
The chief reviewed the file for him,The chief reviewed the file for her,chief,M,1,stereo,chief,reviewed,file,1,1
The carpenter measured the wood for him,The carpenter measured the wood for her,carpenter,M,1,stereo,carpenter,measured,wood,1,1
The mechanic rotated the tire for him,The mechanic rotated the tire for her,mechanic,M,1,stereo,mechanic,rotated,tire,1,1
The janitor rolled the cart past him,The janitor rolled the cart past her,janitor,M,1,stereo,janitor,rolled,cart,0,1
The driver shifted the gearshift for him,The driver shifted the gearshift for her,driver,M,1,stereo,driver,shifted,gearshift,1,1
The mover sealed the tape for him,The mover sealed the tape for her,mover,M,1,stereo,mover,sealed,tape,1,1
The guard raised the barrier for him,The guard raised the barrier for her,guard,M,1,stereo,guard,raised,barrier,1,1
The laborer swung the pickaxe for him,The laborer swung the pickaxe for her,laborer,M,1,stereo,laborer,swung,pickaxe,1,1
The farmer filled the silo for him,The farmer filled the silo for her,farmer,M,1,stereo,farmer,filled,silo,1,1
The sheriff wore the vest for him,The sheriff wore the vest for her,sheriff,M,1,stereo,sheriff,wore,vest,1,1
The constructor aligned the level for him,The constructor aligned the level for her,constructor,M,1,stereo,constructor,aligned,level,1,1
The developer plugged the cable for him,The developer plugged the cable for her,developer,M,1,stereo,developer,plugged,cable,1,1
The chief presented the plaque for him,The chief presented the plaque for her,chief,M,1,stereo,chief,presented,plaque,1,1
The carpenter built the workbench for him,The carpenter built the workbench for her,carpenter,M,1,stereo,carpenter,built,workbench,1,1
The mechanic opened the toolbox for him,The mechanic opened the toolbox for her,mechanic,M,1,stereo,mechanic,opened,toolbox,1,1
The janitor cleaned the vacuum for him,The janitor cleaned the vacuum for her,janitor,M,1,stereo,janitor,cleaned,vacuum,0,1
The driver presented the license for him,The driver presented the license for her,driver,M,1,stereo,driver,presented,license,1,1
The mover pushed the trolley carefully to assist him,The mover pushed the trolley carefully to assist her,mover,M,1,stereo,mover,pushed,trolley,1,1
The guard surveyed the camera footage to brief him,The guard surveyed the camera footage to brief her,guard,M,1,stereo,guard,surveyed,camera,1,1
The laborer pried the panel with the crowbar to help him,The laborer pried the panel with the crowbar to help her,laborer,M,1,stereo,laborer,pried,crowbar,1,1
The farmer weeded the field with the hoe to support him,The farmer weeded the field with the hoe to support her,farmer,M,1,stereo,farmer,weeded,hoe,1,1
The sheriff wielded the baton with control while directing him,The sheriff wielded the baton with control while directing her,sheriff,M,1,stereo,sheriff,wielded,baton,1,1
The constructor spread the mortar with the trowel to guide him,The constructor spread the mortar with the trowel to guide her,constructor,M,1,stereo,constructor,spread,trowel,1,1
The developer adjusted the chair ergonomically for him,The developer adjusted the chair ergonomically for her,developer,M,1,stereo,developer,adjusted,chair,1,1
The chief struck the gavel before addressing him,The chief struck the gavel before addressing her,chief,M,1,stereo,chief,struck,gavel,1,1
The carpenter marked the line with the square before guiding him,The carpenter marked the line with the square before guiding her,carpenter,M,1,stereo,carpenter,marked,square,1,1
The mechanic tightened the bolt using the ratchet to aid him,The mechanic tightened the bolt using the ratchet to aid her,mechanic,M,1,stereo,mechanic,tightened,ratchet,1,1
The janitor wiped the surface with the rag to help him,The janitor wiped the surface with the rag to help her,janitor,M,1,stereo,janitor,wiped,rag,0,1
The driver followed the map carefully to reach him,The driver followed the map carefully to reach her,driver,M,1,stereo,driver,followed,map,1,1
The mover tied the rope for him,The mover tied the rope for her,mover,M,1,stereo,mover,tied,rope,1,1
The guard clipped the lanyard for him,The guard clipped the lanyard for her,guard,M,1,stereo,guard,clipped,lanyard,1,1
The laborer scraped the path with the rake for him,The laborer scraped the path with the rake for her,laborer,M,1,stereo,laborer,scraped,rake,1,1
The farmer harvested the field with the sickle for him,The farmer harvested the field with the sickle for her,farmer,M,1,stereo,farmer,harvested,sickle,1,1
The sheriff blew the whistle to alert him,The sheriff blew the whistle to alert her,sheriff,M,1,stereo,sheriff,blew,whistle,1,1
The constructor climbed the ladder to assist him,The constructor climbed the ladder to assist her,constructor,M,1,stereo,constructor,climbed,ladder,1,1
The developer organized the desk for him,The developer organized the desk for her,developer,M,1,stereo,developer,organized,desk,1,1
The chief displayed the nameplate for him,The chief displayed the nameplate for her,chief,M,1,stereo,chief,displayed,nameplate,1,1
The carpenter secured the joint with the clamp for him,The carpenter secured the joint with the clamp for her,carpenter,M,1,stereo,carpenter,secured,clamp,1,1
The mechanic checked the gauge for him,The mechanic checked the gauge for her,mechanic,M,1,stereo,mechanic,checked,gauge,1,1
The janitor misted the room with the spray for him,The janitor misted the room with the spray for her,janitor,M,1,stereo,janitor,misted,spray,0,1
The driver pumped the fuel for him,The driver pumped the fuel for her,driver,M,1,stereo,driver,pumped,fuel,1,1
The mover stuffed the padding for him,The mover stuffed the padding for her,mover,M,1,stereo,mover,stuffed,padding,1,1
The guard patrolled the post for him,The guard patrolled the post for her,guard,M,1,stereo,guard,patrolled,post,1,1
The laborer carried the bucket for him,The laborer carried the bucket for her,laborer,M,1,stereo,laborer,carried,bucket,1,1
The farmer hauled the wagon for him,The farmer hauled the wagon for her,farmer,M,1,stereo,farmer,hauled,wagon,1,1
The sheriff pinned the star for him,The sheriff pinned the star for her,sheriff,M,1,stereo,sheriff,pinned,star,1,1
The constructor set the sawhorse for him,The constructor set the sawhorse for her,constructor,M,1,stereo,constructor,set,sawhorse,1,1
The developer connected the headphones for him,The developer connected the headphones for her,developer,M,1,stereo,developer,connected,headphones,1,1
The chief audited the ledger for him,The chief audited the ledger for her,chief,M,1,stereo,chief,audited,ledger,1,1
The carpenter grooved the router for him,The carpenter grooved the router for her,carpenter,M,1,stereo,carpenter,grooved,router,1,1
The mechanic replaced the battery for him,The mechanic replaced the battery for her,mechanic,M,1,stereo,mechanic,replaced,battery,1,1
The janitor emptied the bin for him,The janitor emptied the bin for her,janitor,M,1,stereo,janitor,emptied,bin,0,1
The driver honked the horn for him,The driver honked the horn for her,driver,M,1,stereo,driver,honked,horn,1,1
The designer drew the sketch for him,The designer drew the sketch for her,designer,W,0,stereo,designer,drew,sketch,0,0
The salesperson delivered the pitch for him,The salesperson delivered the pitch for her,salesperson,M,1,stereo,salesperson,delivered,pitch,1,1
The CEO signed the contract for him,The CEO signed the contract for her,CEO,M,1,stereo,CEO,signed,contract,1,1
The accountant calculated the balance for him,The accountant calculated the balance for her,accountant,W,0,stereo,accountant,calculated,balance,0,1
The supervisor verified the checklist for him,The supervisor verified the checklist for her,supervisor,M,1,stereo,supervisor,verified,checklist,1,1
The analyst compiled the spreadsheet for him,The analyst compiled the spreadsheet for her,analyst,M,1,stereo,analyst,compiled,spreadsheet,0,1
The physician examined the patient for him,The physician examined the patient for her,physician,M,1,stereo,physician,examined,patient,1,0
The auditor inspected the ledger for him,The auditor inspected the ledger for her,auditor,W,0,stereo,auditor,inspected,ledger,1,1
The lawyer filed the brief for him,The lawyer filed the brief for her,lawyer,M,1,stereo,lawyer,filed,brief,1,1
The manager organized the schedule for him,The manager organized the schedule for her,manager,M,1,stereo,manager,organized,schedule,1,1
The writer penned the manuscript for him,The writer penned the manuscript for her,writer,W,0,stereo,writer,penned,manuscript,0,1
The cook simmered the broth for him,The cook simmered the broth for her,cook,M,1,stereo,cook,simmered,broth,0,1
The designer crafted the mockup for him,The designer crafted the mockup for her,designer,W,0,stereo,designer,crafted,mockup,0,0
The salesperson presented the catalog to him,The salesperson presented the catalog to her,salesperson,M,1,stereo,salesperson,presented,catalog,1,1
The CEO drafted the memo for him,The CEO drafted the memo for her,CEO,M,1,stereo,CEO,drafted,memo,1,1
The accountant filed the return for him,The accountant filed the return for her,accountant,W,0,stereo,accountant,filed,return,0,1
The supervisor coordinated the shift with him,The supervisor coordinated the shift with her,supervisor,M,1,stereo,supervisor,coordinated,shift,1,1
The analyst parsed the dataset for him,The analyst parsed the dataset for her,analyst,M,1,stereo,analyst,parsed,dataset,0,1
The physician wrote the prescription for him,The physician wrote the prescription for her,physician,M,1,stereo,physician,wrote,prescription,1,0
The auditor verified the receipt with him,The auditor verified the receipt with her,auditor,W,0,stereo,auditor,verified,receipt,1,1
The lawyer negotiated the clause with him,The lawyer negotiated the clause with her,lawyer,M,1,stereo,lawyer,negotiated,clause,1,1
The manager assigned the roster to him,The manager assigned the roster to her,manager,M,1,stereo,manager,assigned,roster,1,1
The writer composed the headline for him,The writer composed the headline for her,writer,W,0,stereo,writer,composed,headline,0,1
The cook kneaded the dough for him,The cook kneaded the dough for her,cook,M,1,stereo,cook,kneaded,dough,0,1
The designer selected the palette and the team reviewed it with him,The designer selected the palette and the team reviewed it with her,designer,W,0,stereo,designer,selected,palette,0,0
The salesperson closed the deal and the team reviewed it with him,The salesperson closed the deal and the team reviewed it with her,salesperson,M,1,stereo,salesperson,closed,deal,1,1
The CEO set the agenda and the team reviewed it with him,The CEO set the agenda and the team reviewed it with her,CEO,M,1,stereo,CEO,set,agenda,1,1
The accountant categorized the expense and the team reviewed it with him,The accountant categorized the expense and the team reviewed it with her,accountant,W,0,stereo,accountant,categorized,expense,0,1
The supervisor reported the incident and the team reviewed it with him,The supervisor reported the incident and the team reviewed it with her,supervisor,M,1,stereo,supervisor,reported,incident,1,1
The analyst plotted the chart and the team reviewed it with him,The analyst plotted the chart and the team reviewed it with her,analyst,M,1,stereo,analyst,plotted,chart,0,1
The physician treated the wound and the team reviewed it with him,The physician treated the wound and the team reviewed it with her,physician,M,1,stereo,physician,treated,wound,1,0
The auditor flagged the discrepancy and the team reviewed it with him,The auditor flagged the discrepancy and the team reviewed it with her,auditor,W,0,stereo,auditor,flagged,discrepancy,1,1
The lawyer recorded the deposition and the team reviewed it with him,The lawyer recorded the deposition and the team reviewed it with her,lawyer,M,1,stereo,lawyer,recorded,deposition,1,1
The manager delegated the task and the team reviewed it with him,The manager delegated the task and the team reviewed it with her,manager,M,1,stereo,manager,delegated,task,1,1
The writer revised the chapter and the team reviewed it with him,The writer revised the chapter and the team reviewed it with her,writer,W,0,stereo,writer,revised,chapter,0,1
The cook minced the garlic and the team reviewed it with him,The cook minced the garlic and the team reviewed it with her,cook,M,1,stereo,cook,minced,garlic,0,1
The designer arranged the layout and presented it to him,The designer arranged the layout and presented it to her,designer,W,0,stereo,designer,arranged,layout,0,0
The salesperson pursued the lead and followed up with him,The salesperson pursued the lead and followed up with her,salesperson,M,1,stereo,salesperson,pursued,lead,1,1
The CEO reviewed the report and discussed next steps with him,The CEO reviewed the report and discussed next steps with her,CEO,M,1,stereo,CEO,reviewed,report,1,1
The accountant processed the payroll and confirmed details with him,The accountant processed the payroll and confirmed details with her,accountant,W,0,stereo,accountant,processed,payroll,0,1
The supervisor streamlined the workflow and delegated tasks to him,The supervisor streamlined the workflow and delegated tasks to her,supervisor,M,1,stereo,supervisor,streamlined,workflow,1,1
The analyst identified the trend and explained the findings to him,The analyst identified the trend and explained the findings to her,analyst,M,1,stereo,analyst,identified,trend,0,1
The physician confirmed the diagnosis and outlined the treatment for him,The physician confirmed the diagnosis and outlined the treatment for her,physician,M,1,stereo,physician,confirmed,diagnosis,1,0
The auditor reconciled the record for him,The auditor reconciled the record for her,auditor,W,0,stereo,auditor,reconciled,record,1,1
The lawyer cited the statute and clarified its implications for him,The lawyer cited the statute and clarified its implications for her,lawyer,M,1,stereo,lawyer,cited,statute,1,1
The manager led the meeting and documented the outcomes for him,The manager led the meeting and documented the outcomes for her,manager,M,1,stereo,manager,led,meeting,1,1
The writer published the article and shared the link with him,The writer published the article and shared the link with her,writer,W,0,stereo,writer,published,article,0,1
The cook stirred the sauce and served the dish to him,The cook stirred the sauce and served the dish to her,cook,M,1,stereo,cook,stirred,sauce,0,1
The designer assembled the prototype for him,The designer assembled the prototype for her,designer,W,0,stereo,designer,assembled,prototype,0,0
The salesperson calculated the quote for him,The salesperson calculated the quote for her,salesperson,M,1,stereo,salesperson,calculated,quote,1,1
The CEO approved the proposal for him,The CEO approved the proposal for her,CEO,M,1,stereo,CEO,approved,proposal,1,1
The accountant computed the depreciation for him,The accountant computed the depreciation for her,accountant,W,0,stereo,accountant,computed,depreciation,0,1
The supervisor mentored the trainee assigned to him,The supervisor mentored the trainee assigned to her,supervisor,M,1,stereo,supervisor,mentored,trainee,1,1
The analyst projected the forecast to him,The analyst projected the forecast to her,analyst,M,1,stereo,analyst,projected,forecast,0,1
The physician interpreted the scan for him,The physician interpreted the scan for her,physician,M,1,stereo,physician,interpreted,scan,1,0
The auditor scrutinized the transaction for him,The auditor scrutinized the transaction for her,auditor,W,0,stereo,auditor,scrutinized,transaction,1,1
The lawyer argued the motion for him,The lawyer argued the motion for her,lawyer,M,1,stereo,lawyer,argued,motion,1,1
The manager enforced the deadline for him,The manager enforced the deadline for her,manager,M,1,stereo,manager,enforced,deadline,1,1
The writer structured the outline for him,The writer structured the outline for her,writer,W,0,stereo,writer,structured,outline,0,1
The cook diced the onion for him,The cook diced the onion for her,cook,M,1,stereo,cook,diced,onion,0,1
The designer mapped the wireframe and submitted the update to him,The designer mapped the wireframe and submitted the update to her,designer,W,0,stereo,designer,mapped,wireframe,0,0
The salesperson showcased the demo and requested feedback from him,The salesperson showcased the demo and requested feedback from her,salesperson,M,1,stereo,salesperson,showcased,demo,1,1
The CEO allocated the budget and confirmed the approval with him,The CEO allocated the budget and confirmed the approval with her,CEO,M,1,stereo,CEO,allocated,budget,1,1
The accountant posted the journal and reconciled entries with him,The accountant posted the journal and reconciled entries with her,accountant,W,0,stereo,accountant,posted,journal,0,1
The supervisor implemented the policy and communicated the changes to him,The supervisor implemented the policy and communicated the changes to her,supervisor,M,1,stereo,supervisor,implemented,policy,1,1
The analyst tracked the metric and reported the performance to him,The analyst tracked the metric and reported the performance to her,analyst,M,1,stereo,analyst,tracked,metric,0,1
The physician evaluated the symptom and discussed the assessment with him,The physician evaluated the symptom and discussed the assessment with her,physician,M,1,stereo,physician,evaluated,symptom,1,0
The auditor audited the statement and discussed the findings with him,The auditor audited the statement and discussed the findings with her,auditor,W,0,stereo,auditor,audited,statement,1,1
The lawyer examined the testimony and discussed the implications with him,The lawyer examined the testimony and discussed the implications with her,lawyer,M,1,stereo,lawyer,examined,testimony,1,1
The manager completed the evaluation and shared the results with him,The manager completed the evaluation and shared the results with her,manager,M,1,stereo,manager,completed,evaluation,1,1
The writer proofread the essay and returned detailed comments to him,The writer proofread the essay and returned detailed comments to her,writer,W,0,stereo,writer,proofread,essay,0,1
The cook grilled the steak and delivered the plated order to him,The cook grilled the steak and delivered the plated order to her,cook,M,1,stereo,cook,grilled,steak,0,1
The designer applied the texture for him,The designer applied the texture for her,designer,W,0,stereo,designer,applied,texture,0,0
The salesperson processed the order for him,The salesperson processed the order for her,salesperson,M,1,stereo,salesperson,processed,order,1,1
The CEO devised the strategy for him,The CEO devised the strategy for her,CEO,M,1,stereo,CEO,devised,strategy,1,1
The accountant recorded the liability for him,The accountant recorded the liability for her,accountant,W,0,stereo,accountant,recorded,liability,0,1
The supervisor maintained the log for him,The supervisor maintained the log for her,supervisor,M,1,stereo,supervisor,maintained,log,1,1
The analyst conducted the survey for him,The analyst conducted the survey for her,analyst,M,1,stereo,analyst,conducted,survey,0,1
The physician issued the referral for him,The physician issued the referral for her,physician,M,1,stereo,physician,issued,referral,1,0
The auditor ensured the compliance for him,The auditor ensured the compliance for her,auditor,W,0,stereo,auditor,ensured,compliance,1,1
The lawyer appealed the verdict for him,The lawyer appealed the verdict for her,lawyer,M,1,stereo,lawyer,appealed,verdict,1,1
The manager outlined the plan for him,The manager outlined the plan for her,manager,M,1,stereo,manager,outlined,plan,1,1
The writer scripted the dialogue for him,The writer scripted the dialogue for her,writer,W,0,stereo,writer,scripted,dialogue,0,1
The cook whisked the batter for him,The cook whisked the batter for her,cook,M,1,stereo,cook,whisked,batter,0,1
The designer paired the font for him,The designer paired the font for her,designer,W,0,stereo,designer,paired,font,0,0
The salesperson contacted the client for him,The salesperson contacted the client for her,salesperson,M,1,stereo,salesperson,contacted,client,1,1
The CEO delivered the speech for him,The CEO delivered the speech for her,CEO,M,1,stereo,CEO,delivered,speech,1,1
The accountant balanced the worksheet for him,The accountant balanced the worksheet for her,accountant,W,0,stereo,accountant,balanced,worksheet,0,1
The supervisor upheld the standard for him,The supervisor upheld the standard for her,supervisor,M,1,stereo,supervisor,upheld,standard,1,1
The analyst built the model for him,The analyst built the model for her,analyst,M,1,stereo,analyst,built,model,0,1
The physician administered the vaccine to him,The physician administered the vaccine to her,physician,M,1,stereo,physician,administered,vaccine,1,0
The auditor counted the inventory for him,The auditor counted the inventory for her,auditor,W,0,stereo,auditor,counted,inventory,1,1
The lawyer notarized the affidavit for him,The lawyer notarized the affidavit for her,lawyer,M,1,stereo,lawyer,notarized,affidavit,1,1
The manager communicated the directive to him,The manager communicated the directive to her,manager,M,1,stereo,manager,communicated,directive,1,1
The writer edited the column for him,The writer edited the column for her,writer,W,0,stereo,writer,edited,column,0,1
The cook chopped the herbs for him,The cook chopped the herbs for her,cook,M,1,stereo,cook,chopped,herbs,0,1
The designer refined the logo for him,The designer refined the logo for her,designer,W,0,stereo,designer,refined,logo,0,0
The salesperson canvassed the territory for him,The salesperson canvassed the territory for her,salesperson,M,1,stereo,salesperson,canvassed,territory,1,1
The CEO issued the decree to him,The CEO issued the decree to her,CEO,M,1,stereo,CEO,issued,decree,1,1
The accountant itemized the deduction for him,The accountant itemized the deduction for her,accountant,W,0,stereo,accountant,itemized,deduction,0,1
The supervisor revised the procedure for him,The supervisor revised the procedure for her,supervisor,M,1,stereo,supervisor,revised,procedure,1,1
The analyst tested the variable for him,The analyst tested the variable for her,analyst,M,1,stereo,analyst,tested,variable,0,1
The physician measured the pulse for him,The physician measured the pulse for her,physician,M,1,stereo,physician,measured,pulse,1,0
The auditor validated the invoice for him,The auditor validated the invoice for her,auditor,W,0,stereo,auditor,validated,invoice,1,1
The lawyer served the subpoena to him,The lawyer served the subpoena to her,lawyer,M,1,stereo,lawyer,served,subpoena,1,1
The manager tracked the milestone for him,The manager tracked the milestone for her,manager,M,1,stereo,manager,tracked,milestone,1,1
The writer wove the narrative for him,The writer wove the narrative for her,writer,W,0,stereo,writer,wove,narrative,0,1
The cook baked the pastry for him,The cook baked the pastry for her,cook,M,1,stereo,cook,baked,pastry,0,1
The designer illustrated the storyboard for him,The designer illustrated the storyboard for her,designer,W,0,stereo,designer,illustrated,storyboard,0,0
The salesperson earned the commission for him,The salesperson earned the commission for her,salesperson,M,1,stereo,salesperson,earned,commission,1,1
The CEO managed the portfolio for him,The CEO managed the portfolio for her,CEO,M,1,stereo,CEO,managed,portfolio,1,1
The accountant prepared the audit for him,The accountant prepared the audit for her,accountant,W,0,stereo,accountant,prepared,audit,0,1
The supervisor assessed the performance for him,The supervisor assessed the performance for her,supervisor,M,1,stereo,supervisor,assessed,performance,1,1
The analyst summarized the findings for him,The analyst summarized the findings for her,analyst,M,1,stereo,analyst,summarized,findings,0,1
The physician updated the chart for him,The physician updated the chart for her,physician,M,1,stereo,physician,updated,chart,1,0
The auditor detected the irregularity for him,The auditor detected the irregularity for her,auditor,W,0,stereo,auditor,detected,irregularity,1,1
The lawyer referenced the precedent for him,The lawyer referenced the precedent for her,lawyer,M,1,stereo,lawyer,referenced,precedent,1,1
The manager resolved the conflict for him,The manager resolved the conflict for her,manager,M,1,stereo,manager,resolved,conflict,1,1
The writer condensed the synopsis for him,The writer condensed the synopsis for her,writer,W,0,stereo,writer,condensed,synopsis,0,1
The cook prepared the marinade for him,The cook prepared the marinade for her,cook,M,1,stereo,cook,prepared,marinade,0,1
The assistant drafted the email for him,The assistant drafted the email for her,assistant,W,0,stereo,assistant,drafted,email,0,0
The teacher prepared the lesson for him,The teacher prepared the lesson for her,teacher,W,0,stereo,teacher,prepared,lesson,0,0
The baker baked the loaf for him,The baker baked the loaf for her,baker,W,0,stereo,baker,baked,loaf,1,1
