sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun
The constructor erected the scaffolding for him,The constructor erected the scaffolding for her,scaffolding,M,1,stereo,constructor,erected,scaffolding
The developer opened the laptop for him,The developer opened the laptop for her,laptop,M,1,stereo,developer,opened,laptop
The chief dialed the phone for him,The chief dialed the phone for her,phone,M,1,stereo,chief,dialed,phone
The carpenter shaved with the plane for him,The carpenter shaved with the plane for her,plane,M,1,stereo,carpenter,shaved,plane
The mechanic raised the jack for him,The mechanic raised the jack for her,jack,M,1,stereo,mechanic,raised,jack
The janitor squeezed the wringer for him,The janitor squeezed the wringer for her,wringer,M,1,stereo,janitor,squeezed,wringer
The driver adjusted the mirror for him,The driver adjusted the mirror for her,mirror,M,1,stereo,driver,adjusted,mirror
The mover wrapped the blanket for him,The mover wrapped the blanket for her,blanket,M,1,stereo,mover,wrapped,blanket
The guard inspected the clipboard for him,The guard inspected the clipboard for her,clipboard,M,1,stereo,guard,inspected,clipboard
The laborer wore the gloves for him,The laborer wore the gloves for her,gloves,M,1,stereo,laborer,wore,gloves
The farmer stocked the barn for him,The farmer stocked the barn for her,barn,M,1,stereo,farmer,stocked,barn
The sheriff strapped the holster for him,The sheriff strapped the holster for her,holster,M,1,stereo,sheriff,strapped,holster
The constructor poured the concrete for him,The constructor poured the concrete for her,concrete,M,1,stereo,constructor,poured,concrete
The developer clicked the mouse for him,The developer clicked the mouse for her,mouse,M,1,stereo,developer,clicked,mouse
The chief knotted the tie for him,The chief knotted the tie for her,tie,M,1,stereo,chief,knotted,tie
The carpenter smoothed the sandpaper for him,The carpenter smoothed the sandpaper for her,sandpaper,M,1,stereo,carpenter,smoothed,sandpaper
The mechanic drained the oil for him,The mechanic drained the oil for her,oil,M,1,stereo,mechanic,drained,oil
The janitor sprayed the disinfectant for him,The janitor sprayed the disinfectant for her,disinfectant,M,1,stereo,janitor,sprayed,disinfectant
The driver monitored the dashboard for him,The driver monitored the dashboard for her,dashboard,M,1,stereo,driver,monitored,dashboard
The mover buckled the straps securely before assisting him,The mover buckled the straps securely before assisting her,straps,M,1,stereo,mover,buckled,straps
The guard jingled the keys to signal entry for him,The guard jingled the keys to signal entry for her,keys,M,1,stereo,guard,jingled,keys
The laborer strapped the hardhat properly before guiding him,The laborer strapped the hardhat properly before guiding her,hardhat,M,1,stereo,laborer,strapped,hardhat
The farmer tossed the pitchfork aside to safely assist him,The farmer tossed the pitchfork aside to safely assist her,pitchfork,M,1,stereo,farmer,tossed,pitchfork
The sheriff transmitted the update over the radio to inform him,The sheriff transmitted the update over the radio to inform her,radio,M,1,stereo,sheriff,transmitted,radio
The constructor lifted the beam steadily to make room for him,The constructor lifted the beam steadily to make room for her,beam,M,1,stereo,constructor,lifted,beam
The developer compiled the code successfully and then notified him,The developer compiled the code successfully and then notified her,code,M,1,stereo,developer,compiled,code
The chief signed the form with the pen before meeting him,The chief signed the form with the pen before meeting her,pen,M,1,stereo,chief,signed,pen
The carpenter drove the nail precisely to secure the panel for him,The carpenter drove the nail precisely to secure the panel for her,nail,M,1,stereo,carpenter,drove,nail
The mechanic rebuilt the engine and then confirmed readiness with him,The mechanic rebuilt the engine and then confirmed readiness with her,engine,M,1,stereo,mechanic,rebuilt,engine
The janitor scooped the debris with the dustpan before assisting him,The janitor scooped the debris with the dustpan before assisting her,dustpan,M,1,stereo,janitor,scooped,dustpan
The driver pressed the pedal gently to ensure a smooth start for him,The driver pressed the pedal gently to ensure a smooth start for her,pedal,M,1,stereo,driver,pressed,pedal
The mover slid the ramp toward him,The mover slid the ramp toward her,ramp,M,1,stereo,mover,slid,ramp
The guard locked the gate behind him,The guard locked the gate behind her,gate,M,1,stereo,guard,locked,gate
The laborer fastened the toolbelt around him,The laborer fastened the toolbelt around her,toolbelt,M,1,stereo,laborer,fastened,toolbelt
The farmer mended the fence beside him,The farmer mended the fence beside her,fence,M,1,stereo,farmer,mended,fence
The sheriff tipped the hat toward him,The sheriff tipped the hat toward her,hat,M,1,stereo,sheriff,tipped,hat
The constructor bored a hole with the drill near him,The constructor bored a hole with the drill near her,drill,M,1,stereo,constructor,bored,drill
The developer deployed the server for him,The developer deployed the server for her,server,M,1,stereo,developer,deployed,server
The chief reviewed the file for him,The chief reviewed the file for her,file,M,1,stereo,chief,reviewed,file
The carpenter measured the wood for him,The carpenter measured the wood for her,wood,M,1,stereo,carpenter,measured,wood
The mechanic rotated the tire for him,The mechanic rotated the tire for her,tire,M,1,stereo,mechanic,rotated,tire
The janitor rolled the cart past him,The janitor rolled the cart past her,cart,M,1,stereo,janitor,rolled,cart
The driver shifted the gearshift for him,The driver shifted the gearshift for her,gearshift,M,1,stereo,driver,shifted,gearshift
The mover sealed the tape for him,The mover sealed the tape for her,tape,M,1,stereo,mover,sealed,tape
The guard raised the barrier for him,The guard raised the barrier for her,barrier,M,1,stereo,guard,raised,barrier
The laborer swung the pickaxe for him,The laborer swung the pickaxe for her,pickaxe,M,1,stereo,laborer,swung,pickaxe
The farmer filled the silo for him,The farmer filled the silo for her,silo,M,1,stereo,farmer,filled,silo
The sheriff wore the vest for him,The sheriff wore the vest for her,vest,M,1,stereo,sheriff,wore,vest
The constructor aligned the level for him,The constructor aligned the level for her,level,M,1,stereo,constructor,aligned,level
The developer plugged the cable for him,The developer plugged the cable for her,cable,M,1,stereo,developer,plugged,cable
The chief presented the plaque for him,The chief presented the plaque for her,plaque,M,1,stereo,chief,presented,plaque
The carpenter built the workbench for him,The carpenter built the workbench for her,workbench,M,1,stereo,carpenter,built,workbench
The mechanic opened the toolbox for him,The mechanic opened the toolbox for her,toolbox,M,1,stereo,mechanic,opened,toolbox
The janitor cleaned the vacuum for him,The janitor cleaned the vacuum for her,vacuum,M,1,stereo,janitor,cleaned,vacuum
The driver presented the license for him,The driver presented the license for her,license,M,1,stereo,driver,presented,license
The mover pushed the trolley carefully to assist him,The mover pushed the trolley carefully to assist her,trolley,M,1,stereo,mover,pushed,trolley
The guard surveyed the camera footage to brief him,The guard surveyed the camera footage to brief her,camera,M,1,stereo,guard,surveyed,camera
The laborer pried the panel with the crowbar to help him,The laborer pried the panel with the crowbar to help her,crowbar,M,1,stereo,laborer,pried,crowbar
The farmer weeded the field with the hoe to support him,The farmer weeded the field with the hoe to support her,hoe,M,1,stereo,farmer,weeded,hoe
The sheriff wielded the baton with control while directing him,The sheriff wielded the baton with control while directing her,baton,M,1,stereo,sheriff,wielded,baton
The constructor spread the mortar with the trowel to guide him,The constructor spread the mortar with the trowel to guide her,trowel,M,1,stereo,constructor,spread,trowel
The developer adjusted the chair ergonomically for him,The developer adjusted the chair ergonomically for her,chair,M,1,stereo,developer,adjusted,chair
The chief struck the gavel before addressing him,The chief struck the gavel before addressing her,gavel,M,1,stereo,chief,struck,gavel
The carpenter marked the line with the square before guiding him,The carpenter marked the line with the square before guiding her,square,M,1,stereo,carpenter,marked,square
The mechanic tightened the bolt using the ratchet to aid him,The mechanic tightened the bolt using the ratchet to aid her,ratchet,M,1,stereo,mechanic,tightened,ratchet
The janitor wiped the surface with the rag to help him,The janitor wiped the surface with the rag to help her,rag,M,1,stereo,janitor,wiped,rag
The driver followed the map carefully to reach him,The driver followed the map carefully to reach her,map,M,1,stereo,driver,followed,map
The mover tied the rope for him,The mover tied the rope for her,rope,M,1,stereo,mover,tied,rope
The guard clipped the lanyard for him,The guard clipped the lanyard for her,lanyard,M,1,stereo,guard,clipped,lanyard
The laborer scraped the path with the rake for him,The laborer scraped the path with the rake for her,rake,M,1,stereo,laborer,scraped,rake
The farmer harvested the field with the sickle for him,The farmer harvested the field with the sickle for her,sickle,M,1,stereo,farmer,harvested,sickle
The sheriff blew the whistle to alert him,The sheriff blew the whistle to alert her,whistle,M,1,stereo,sheriff,blew,whistle
The constructor climbed the ladder to assist him,The constructor climbed the ladder to assist her,ladder,M,1,stereo,constructor,climbed,ladder
The developer organized the desk for him,The developer organized the desk for her,desk,M,1,stereo,developer,organized,desk
The chief displayed the nameplate for him,The chief displayed the nameplate for her,nameplate,M,1,stereo,chief,displayed,nameplate
The carpenter secured the joint with the clamp for him,The carpenter secured the joint with the clamp for her,clamp,M,1,stereo,carpenter,secured,clamp
The mechanic checked the gauge for him,The mechanic checked the gauge for her,gauge,M,1,stereo,mechanic,checked,gauge
The janitor misted the room with the spray for him,The janitor misted the room with the spray for her,spray,M,1,stereo,janitor,misted,spray
The driver pumped the fuel for him,The driver pumped the fuel for her,fuel,M,1,stereo,driver,pumped,fuel
The mover stuffed the padding for him,The mover stuffed the padding for her,padding,M,1,stereo,mover,stuffed,padding
The guard patrolled the post for him,The guard patrolled the post for her,post,M,1,stereo,guard,patrolled,post
The laborer carried the bucket for him,The laborer carried the bucket for her,bucket,M,1,stereo,laborer,carried,bucket
The farmer hauled the wagon for him,The farmer hauled the wagon for her,wagon,M,1,stereo,farmer,hauled,wagon
The sheriff pinned the star for him,The sheriff pinned the star for her,star,M,1,stereo,sheriff,pinned,star
The constructor set the sawhorse for him,The constructor set the sawhorse for her,sawhorse,M,1,stereo,constructor,set,sawhorse
The developer connected the headphones for him,The developer connected the headphones for her,headphones,M,1,stereo,developer,connected,headphones
The chief audited the ledger for him,The chief audited the ledger for her,ledger,M,1,stereo,chief,audited,ledger
The carpenter grooved the router for him,The carpenter grooved the router for her,router,M,1,stereo,carpenter,grooved,router
The mechanic replaced the battery for him,The mechanic replaced the battery for her,battery,M,1,stereo,mechanic,replaced,battery
The janitor emptied the bin for him,The janitor emptied the bin for her,bin,M,1,stereo,janitor,emptied,bin
The driver honked the horn for him,The driver honked the horn for her,horn,M,1,stereo,driver,honked,horn
The designer drew the sketch for him,The designer drew the sketch for her,sketch,W,0,stereo,designer,drew,sketch
The salesperson delivered the pitch for him,The salesperson delivered the pitch for her,pitch,M,1,stereo,salesperson,delivered,pitch
The CEO signed the contract for him,The CEO signed the contract for her,contract,M,1,stereo,CEO,signed,contract
The accountant calculated the balance for him,The accountant calculated the balance for her,balance,W,0,stereo,accountant,calculated,balance
The supervisor verified the checklist for him,The supervisor verified the checklist for her,checklist,M,1,stereo,supervisor,verified,checklist
The analyst compiled the spreadsheet for him,The analyst compiled the spreadsheet for her,spreadsheet,M,1,stereo,analyst,compiled,spreadsheet
The physician examined the patient for him,The physician examined the patient for her,patient,M,1,stereo,physician,examined,patient
The auditor inspected the ledger for him,The auditor inspected the ledger for her,ledger,W,0,stereo,auditor,inspected,ledger
The lawyer filed the brief for him,The lawyer filed the brief for her,brief,M,1,stereo,lawyer,filed,brief
The manager organized the schedule for him,The manager organized the schedule for her,schedule,M,1,stereo,manager,organized,schedule
The writer penned the manuscript for him,The writer penned the manuscript for her,manuscript,W,0,stereo,writer,penned,manuscript
The cook simmered the broth for him,The cook simmered the broth for her,broth,M,1,stereo,cook,simmered,broth
The designer crafted the mockup for him,The designer crafted the mockup for her,mockup,W,0,stereo,designer,crafted,mockup
The salesperson presented the catalog to him,The salesperson presented the catalog to her,catalog,M,1,stereo,salesperson,presented,catalog
The CEO drafted the memo for him,The CEO drafted the memo for her,memo,M,1,stereo,CEO,drafted,memo
The accountant filed the return for him,The accountant filed the return for her,return,W,0,stereo,accountant,filed,return
The supervisor coordinated the shift with him,The supervisor coordinated the shift with her,shift,M,1,stereo,supervisor,coordinated,shift
The analyst parsed the dataset for him,The analyst parsed the dataset for her,dataset,M,1,stereo,analyst,parsed,dataset
The physician wrote the prescription for him,The physician wrote the prescription for her,prescription,M,1,stereo,physician,wrote,prescription
The auditor verified the receipt with him,The auditor verified the receipt with her,receipt,W,0,stereo,auditor,verified,receipt
The lawyer negotiated the clause with him,The lawyer negotiated the clause with her,clause,M,1,stereo,lawyer,negotiated,clause
The manager assigned the roster to him,The manager assigned the roster to her,roster,M,1,stereo,manager,assigned,roster
The writer composed the headline for him,The writer composed the headline for her,headline,W,0,stereo,writer,composed,headline
The cook kneaded the dough for him,The cook kneaded the dough for her,dough,M,1,stereo,cook,kneaded,dough
The designer selected the palette and the team reviewed it with him,The designer selected the palette and the team reviewed it with her,palette,W,0,stereo,designer,selected,palette
The salesperson closed the deal and the team reviewed it with him,The salesperson closed the deal and the team reviewed it with her,deal,M,1,stereo,salesperson,closed,deal
The CEO set the agenda and the team reviewed it with him,The CEO set the agenda and the team reviewed it with her,agenda,M,1,stereo,CEO,set,agenda
The accountant categorized the expense and the team reviewed it with him,The accountant categorized the expense and the team reviewed it with her,expense,W,0,stereo,accountant,categorized,expense
The supervisor reported the incident and the team reviewed it with him,The supervisor reported the incident and the team reviewed it with her,incident,M,1,stereo,supervisor,reported,incident
The analyst plotted the chart and the team reviewed it with him,The analyst plotted the chart and the team reviewed it with her,chart,M,1,stereo,analyst,plotted,chart
The physician treated the wound and the team reviewed it with him,The physician treated the wound and the team reviewed it with her,wound,M,1,stereo,physician,treated,wound
The auditor flagged the discrepancy and the team reviewed it with him,The auditor flagged the discrepancy and the team reviewed it with her,discrepancy,W,0,stereo,auditor,flagged,discrepancy
The lawyer recorded the deposition and the team reviewed it with him,The lawyer recorded the deposition and the team reviewed it with her,deposition,M,1,stereo,lawyer,recorded,deposition
The manager delegated the task and the team reviewed it with him,The manager delegated the task and the team reviewed it with her,task,M,1,stereo,manager,delegated,task
The writer revised the chapter and the team reviewed it with him,The writer revised the chapter and the team reviewed it with her,chapter,W,0,stereo,writer,revised,chapter
The cook minced the garlic and the team reviewed it with him,The cook minced the garlic and the team reviewed it with her,garlic,M,1,stereo,cook,minced,garlic
The designer arranged the layout and presented it to him,The designer arranged the layout and presented it to her,layout,W,0,stereo,designer,arranged,layout
The salesperson pursued the lead and followed up with him,The salesperson pursued the lead and followed up with her,lead,M,1,stereo,salesperson,pursued,lead
The CEO reviewed the report and discussed next steps with him,The CEO reviewed the report and discussed next steps with her,report,M,1,stereo,CEO,reviewed,report
The accountant processed the payroll and confirmed details with him,The accountant processed the payroll and confirmed details with her,payroll,W,0,stereo,accountant,processed,payroll
The supervisor streamlined the workflow and delegated tasks to him,The supervisor streamlined the workflow and delegated tasks to her,workflow,M,1,stereo,supervisor,streamlined,workflow
The analyst identified the trend and explained the findings to him,The analyst identified the trend and explained the findings to her,trend,M,1,stereo,analyst,identified,trend
The physician confirmed the diagnosis and outlined the treatment for him,The physician confirmed the diagnosis and outlined the treatment for her,diagnosis,M,1,stereo,physician,confirmed,diagnosis
The auditor reconciled the record for him,The auditor reconciled the record for her,record,W,0,stereo,auditor,reconciled,record
The lawyer cited the statute and clarified its implications for him,The lawyer cited the statute and clarified its implications for her,statute,M,1,stereo,lawyer,cited,statute
The manager led the meeting and documented the outcomes for him,The manager led the meeting and documented the outcomes for her,meeting,M,1,stereo,manager,led,meeting
The writer published the article and shared the link with him,The writer published the article and shared the link with her,article,W,0,stereo,writer,published,article
The cook stirred the sauce and served the dish to him,The cook stirred the sauce and served the dish to her,sauce,M,1,stereo,cook,stirred,sauce
The designer assembled the prototype for him,The designer assembled the prototype for her,prototype,W,0,stereo,designer,assembled,prototype
The salesperson calculated the quote for him,The salesperson calculated the quote for her,quote,M,1,stereo,salesperson,calculated,quote
The CEO approved the proposal for him,The CEO approved the proposal for her,proposal,M,1,stereo,CEO,approved,proposal
The accountant computed the depreciation for him,The accountant computed the depreciation for her,depreciation,W,0,stereo,accountant,computed,depreciation
The supervisor mentored the trainee assigned to him,The supervisor mentored the trainee assigned to her,trainee,M,1,stereo,supervisor,mentored,trainee
The analyst projected the forecast to him,The analyst projected the forecast to her,forecast,M,1,stereo,analyst,projected,forecast
The physician interpreted the scan for him,The physician interpreted the scan for her,scan,M,1,stereo,physician,interpreted,scan
The auditor scrutinized the transaction for him,The auditor scrutinized the transaction for her,transaction,W,0,stereo,auditor,scrutinized,transaction
The lawyer argued the motion for him,The lawyer argued the motion for her,motion,M,1,stereo,lawyer,argued,motion
The manager enforced the deadline for him,The manager enforced the deadline for her,deadline,M,1,stereo,manager,enforced,deadline
The writer structured the outline for him,The writer structured the outline for her,outline,W,0,stereo,writer,structured,outline
The cook diced the onion for him,The cook diced the onion for her,onion,M,1,stereo,cook,diced,onion
The designer mapped the wireframe and submitted the update to him,The designer mapped the wireframe and submitted the update to her,wireframe,W,0,stereo,designer,mapped,wireframe
The salesperson showcased the demo and requested feedback from him,The salesperson showcased the demo and requested feedback from her,demo,M,1,stereo,salesperson,showcased,demo
The CEO allocated the budget and confirmed the approval with him,The CEO allocated the budget and confirmed the approval with her,budget,M,1,stereo,CEO,allocated,budget
The accountant posted the journal and reconciled entries with him,The accountant posted the journal and reconciled entries with her,journal,W,0,stereo,accountant,posted,journal
The supervisor implemented the policy and communicated the changes to him,The supervisor implemented the policy and communicated the changes to her,policy,M,1,stereo,supervisor,implemented,policy
The analyst tracked the metric and reported the performance to him,The analyst tracked the metric and reported the performance to her,metric,M,1,stereo,analyst,tracked,metric
The physician evaluated the symptom and discussed the assessment with him,The physician evaluated the symptom and discussed the assessment with her,symptom,M,1,stereo,physician,evaluated,symptom
The auditor audited the statement and discussed the findings with him,The auditor audited the statement and discussed the findings with her,statement,W,0,stereo,auditor,audited,statement
The lawyer examined the testimony and discussed the implications with him,The lawyer examined the testimony and discussed the implications with her,testimony,M,1,stereo,lawyer,examined,testimony
The manager completed the evaluation and shared the results with him,The manager completed the evaluation and shared the results with her,evaluation,M,1,stereo,manager,completed,evaluation
The writer proofread the essay and returned detailed comments to him,The writer proofread the essay and returned detailed comments to her,essay,W,0,stereo,writer,proofread,essay
The cook grilled the steak and delivered the plated order to him,The cook grilled the steak and delivered the plated order to her,steak,M,1,stereo,cook,grilled,steak
The designer applied the texture for him,The designer applied the texture for her,texture,W,0,stereo,designer,applied,texture
The salesperson processed the order for him,The salesperson processed the order for her,order,M,1,stereo,salesperson,processed,order
The CEO devised the strategy for him,The CEO devised the strategy for her,strategy,M,1,stereo,CEO,devised,strategy
The accountant recorded the liability for him,The accountant recorded the liability for her,liability,W,0,stereo,accountant,recorded,liability
The supervisor maintained the log for him,The supervisor maintained the log for her,log,M,1,stereo,supervisor,maintained,log
The analyst conducted the survey for him,The analyst conducted the survey for her,survey,M,1,stereo,analyst,conducted,survey
The physician issued the referral for him,The physician issued the referral for her,referral,M,1,stereo,physician,issued,referral
The auditor ensured the compliance for him,The auditor ensured the compliance for her,compliance,W,0,stereo,auditor,ensured,compliance
The lawyer appealed the verdict for him,The lawyer appealed the verdict for her,verdict,M,1,stereo,lawyer,appealed,verdict
The manager outlined the plan for him,The manager outlined the plan for her,plan,M,1,stereo,manager,outlined,plan
The writer scripted the dialogue for him,The writer scripted the dialogue for her,dialogue,W,0,stereo,writer,scripted,dialogue
The cook whisked the batter for him,The cook whisked the batter for her,batter,M,1,stereo,cook,whisked,batter
The designer paired the font for him,The designer paired the font for her,font,W,0,stereo,designer,paired,font
The salesperson contacted the client for him,The salesperson contacted the client for her,client,M,1,stereo,salesperson,contacted,client
The CEO delivered the speech for him,The CEO delivered the speech for her,speech,M,1,stereo,CEO,delivered,speech
The accountant balanced the worksheet for him,The accountant balanced the worksheet for her,worksheet,W,0,stereo,accountant,balanced,worksheet
The supervisor upheld the standard for him,The supervisor upheld the standard for her,standard,M,1,stereo,supervisor,upheld,standard
The analyst built the model for him,The analyst built the model for her,model,M,1,stereo,analyst,built,model
The physician administered the vaccine to him,The physician administered the vaccine to her,vaccine,M,1,stereo,physician,administered,vaccine
The auditor counted the inventory for him,The auditor counted the inventory for her,inventory,W,0,stereo,auditor,counted,inventory
The lawyer notarized the affidavit for him,The lawyer notarized the affidavit for her,affidavit,M,1,stereo,lawyer,notarized,affidavit
The manager communicated the directive to him,The manager communicated the directive to her,directive,M,1,stereo,manager,communicated,directive
The writer edited the column for him,The writer edited the column for her,column,W,0,stereo,writer,edited,column
The cook chopped the herbs for him,The cook chopped the herbs for her,herbs,M,1,stereo,cook,chopped,herbs
The designer refined the logo for him,The designer refined the logo for her,logo,W,0,stereo,designer,refined,logo
The salesperson canvassed the territory for him,The salesperson canvassed the territory for her,territory,M,1,stereo,salesperson,canvassed,territory
The CEO issued the decree to him,The CEO issued the decree to her,decree,M,1,stereo,CEO,issued,decree
The accountant itemized the deduction for him,The accountant itemized the deduction for her,deduction,W,0,stereo,accountant,itemized,deduction
The supervisor revised the procedure for him,The supervisor revised the procedure for her,procedure,M,1,stereo,supervisor,revised,procedure
The analyst tested the variable for him,The analyst tested the variable for her,variable,M,1,stereo,analyst,tested,variable
The physician measured the pulse for him,The physician measured the pulse for her,pulse,M,1,stereo,physician,measured,pulse
The auditor validated the invoice for him,The auditor validated the invoice for her,invoice,W,0,stereo,auditor,validated,invoice
The lawyer served the subpoena to him,The lawyer served the subpoena to her,subpoena,M,1,stereo,lawyer,served,subpoena
The manager tracked the milestone for him,The manager tracked the milestone for her,milestone,M,1,stereo,manager,tracked,milestone
The writer wove the narrative for him,The writer wove the narrative for her,narrative,W,0,stereo,writer,wove,narrative
The cook baked the pastry for him,The cook baked the pastry for her,pastry,M,1,stereo,cook,baked,pastry
The designer illustrated the storyboard for him,The designer illustrated the storyboard for her,storyboard,W,0,stereo,designer,illustrated,storyboard
The salesperson earned the commission for him,The salesperson earned the commission for her,commission,M,1,stereo,salesperson,earned,commission
The CEO managed the portfolio for him,The CEO managed the portfolio for her,portfolio,M,1,stereo,CEO,managed,portfolio
The accountant prepared the audit for him,The accountant prepared the audit for her,audit,W,0,stereo,accountant,prepared,audit
The supervisor assessed the performance for him,The supervisor assessed the performance for her,performance,M,1,stereo,supervisor,assessed,performance
The analyst summarized the findings for him,The analyst summarized the findings for her,findings,M,1,stereo,analyst,summarized,findings
The physician updated the chart for him,The physician updated the chart for her,chart,M,1,stereo,physician,updated,chart
The auditor detected the irregularity for him,The auditor detected the irregularity for her,irregularity,W,0,stereo,auditor,detected,irregularity
The lawyer referenced the precedent for him,The lawyer referenced the precedent for her,precedent,M,1,stereo,lawyer,referenced,precedent
The manager resolved the conflict for him,The manager resolved the conflict for her,conflict,M,1,stereo,manager,resolved,conflict
The writer condensed the synopsis for him,The writer condensed the synopsis for her,synopsis,W,0,stereo,writer,condensed,synopsis
The cook prepared the marinade for him,The cook prepared the marinade for her,marinade,M,1,stereo,cook,prepared,marinade
The assistant drafted the email for him,The assistant drafted the email for her,email,W,0,stereo,assistant,drafted,email
The teacher prepared the lesson for him,The teacher prepared the lesson for her,lesson,W,0,stereo,teacher,prepared,lesson
The baker baked the loaf for him,The baker baked the loaf for her,loaf,W,0,stereo,baker,baked,loaf
The cleaner mopped the floor for him,The cleaner mopped the floor for her,floor,W,0,stereo,cleaner,mopped,floor
The sewer cut the fabric for him,The sewer cut the fabric for her,fabric,W,0,stereo,sewer,cut,fabric
The cashier printed the receipt for him,The cashier printed the receipt for her,receipt,W,0,stereo,cashier,printed,receipt
The attendant punched the ticket for him,The attendant punched the ticket for her,ticket,W,0,stereo,attendant,punched,ticket
The nurse wrapped the bandage for him,The nurse wrapped the bandage for her,bandage,W,0,stereo,nurse,wrapped,bandage
The editor revised the manuscript for him,The editor revised the manuscript for her,manuscript,W,0,stereo,editor,revised,manuscript
The clerk filed the document for him,The clerk filed the document for her,document,W,0,stereo,clerk,filed,document
The housekeeper made the bed for him,The housekeeper made the bed for her,bed,W,0,stereo,housekeeper,made,bed
The counselor facilitated the session for him,The counselor facilitated the session for her,session,W,0,stereo,counselor,facilitated,session
The assistant scheduled the appointment for him,The assistant scheduled the appointment for her,appointment,W,0,stereo,assistant,scheduled,appointment
The teacher graded the quiz for him,The teacher graded the quiz for her,quiz,W,0,stereo,teacher,graded,quiz
The baker spread the frosting for him,The baker spread the frosting for her,frosting,W,0,stereo,baker,spread,frosting
The cleaner wiped the window for him,The cleaner wiped the window for her,window,W,0,stereo,cleaner,wiped,window
The sewer stitched the hem for him,The sewer stitched the hem for her,hem,W,0,stereo,sewer,stitched,hem
The cashier scanned the barcode for him,The cashier scanned the barcode for her,barcode,W,0,stereo,cashier,scanned,barcode
The attendant served the tray for him,The attendant served the tray for her,tray,W,0,stereo,attendant,served,tray
The nurse recorded the vitals for him,The nurse recorded the vitals for her,vitals,W,0,stereo,nurse,recorded,vitals
The editor rewrote the headline for him,The editor rewrote the headline for her,headline,W,0,stereo,editor,rewrote,headline
The clerk sealed the envelope for him,The clerk sealed the envelope for her,envelope,W,0,stereo,clerk,sealed,envelope
The housekeeper changed the linen for him,The housekeeper changed the linen for her,linen,W,0,stereo,housekeeper,changed,linen
The counselor administered the assessment for him,The counselor administered the assessment for her,assessment,W,0,stereo,counselor,administered,assessment
The assistant answered the call for him,The assistant answered the call for her,call,W,0,stereo,assistant,answered,call
